Speaker,Text,Context,filename,Summary
S2,G11.,"All right. We're recording, so you can go to sleep a little bit. Okay. I'm going to start by",Cataldo-etal_G11_Transcript,"All right. We're recording, so you can go to sleep a little bit. Okay. I'm going to start by"
S1,"G11. Well, you have a good memory [laughter]. All right. And you are one of my",G11.,Cataldo-etal_G11_Transcript,G11.
S2,Second.,"G11. Well, you have a good memory [laughter]. All right. And you are one of my",Cataldo-etal_G11_Transcript,"G11. Well, you have a good memory [laughter]. All right. And you are one of my"
S1,So you're a second year of your graduate program?,Second.,Cataldo-etal_G11_Transcript,Second.
S2,"Yeah, masters degree.",So you're a second year of your graduate program?,Cataldo-etal_G11_Transcript,So you're a second year of your graduate program?
S1,Okay. Do you have a parent or a guardian who has a bachelor's degree?,"Yeah, masters degree.",Cataldo-etal_G11_Transcript,"Yeah, masters degree."
S2,No.,Okay. Do you have a parent or a guardian who has a bachelor's degree?,Cataldo-etal_G11_Transcript,Okay. Do you have a parent or a guardian who has a bachelor's degree?
S1,That's makes you - you've probably heard it before - a first generation of college,No.,Cataldo-etal_G11_Transcript,No.
S2,"Not a research project. While searching books, books for research.",That's makes you - you've probably heard it before - a first generation of college,Cataldo-etal_G11_Transcript,That's makes you - you've probably heard it before - a first generation of college
S1,"Okay. Do you ask a librarian for help in person, online, via chat or both?","Not a research project. While searching books, books for research.",Cataldo-etal_G11_Transcript,"Not a research project. While searching books, books for research."
S2,In person.,"Okay. Do you ask a librarian for help in person, online, via chat or both?",Cataldo-etal_G11_Transcript,"Okay. Do you ask a librarian for help in person, online, via chat or both?"
S1,In person. Have you ever attended a lecture or a workshop taught by a librarian?,In person.,Cataldo-etal_G11_Transcript,In person.
S2,No.,In person. Have you ever attended a lecture or a workshop taught by a librarian?,Cataldo-etal_G11_Transcript,In person. Have you ever attended a lecture or a workshop taught by a librarian?
S1,Have you taken a for credit course about research strategies taught by a librarian?,No.,Cataldo-etal_G11_Transcript,No.
S2,"Four credit course, no.",Have you taken a for credit course about research strategies taught by a librarian?,Cataldo-etal_G11_Transcript,Have you taken a for credit course about research strategies taught by a librarian?
S1,"Any credit, really. It says for credit, not the number four. So any credit course, really.","Four credit course, no.",Cataldo-etal_G11_Transcript,"Four credit course, no."
